U,T,Normalized_S_pi_pi
18.0,0.2,0.01650444587446189
18.0,0.1895263157894737,0.021799831947712456
18.0,0.17905263157894738,0.02054847433852135
18.0,0.16857894736842105,0.0160348314510587
18.0,0.15810526315789475,0.024356732660546953
18.0,0.14763157894736845,0.01870714170723446
18.0,0.13715789473684212,0.023603991703096367
18.0,0.1266842105263158,0.021481142082842596
18.0,0.11621052631578949,0.018621830575031986
18.0,0.10573684210526317,0.027146459117707536
18.0,0.09526315789473686,0.026500549583405347
18.0,0.08478947368421054,0.054088081419345894
18.0,0.07431578947368422,0.05680455783364383
18.0,0.06384210526315792,0.13044651122312764
18.0,0.05336842105263159,0.26022081032624816
18.0,0.04289473684210526,0.45893091490196003
18.0,0.03242105263157896,0.6582441972756334
18.0,0.02194736842105266,0.8217534266353028
18.0,0.01147368421052633,0.8734428282600935
18.0,0.001,0.9331206736354778
