U,T,m_magnitude
20.0,0.2,9.588136665772042
20.0,0.2,9.34263451898431
20.0,0.2,9.354058883027884
20.0,0.2,9.692440965474571
20.0,0.2,9.634978032779362
20.0,0.2,9.170053935589396
20.0,0.2,9.763763384155476
20.0,0.2,9.843934423295353
20.0,0.2,7.084749787324553
20.0,0.2,8.570152756023315
20.0,0.2,9.012595054260881
20.0,0.2,7.732283292999736
20.0,0.2,9.330526974094255
20.0,0.2,8.375338168813967
20.0,0.2,9.173288044894369
20.0,0.2,9.887345282724585
20.0,0.2,7.697386696547272
20.0,0.2,9.735599989164015
20.0,0.2,9.47062290885983
20.0,0.2,7.998991287078211
20.0,0.2,9.172858196969806
20.0,0.2,9.009599685483686
20.0,0.2,8.970464221762574
20.0,0.2,9.693655410013442
20.0,0.2,9.239766857771292
20.0,0.2,7.986567898115721
20.0,0.2,9.130423741305954
20.0,0.2,8.997835362814255
20.0,0.2,8.382125531190958
20.0,0.2,9.460760794362104
20.0,0.2,8.670628787277643
20.0,0.2,6.29732550681918
20.0,0.2,8.555402071694541
20.0,0.2,8.070062955354665
20.0,0.2,8.807204206984192
20.0,0.2,6.790776350826934
20.0,0.2,8.980434571119808
20.0,0.2,8.409181839464235
20.0,0.2,9.97353146300992
20.0,0.2,8.367923483814739
20.0,0.2,9.660741238814364
20.0,0.2,7.790942663961471
20.0,0.2,9.792355944069108
20.0,0.2,9.87512584879722
20.0,0.2,9.535262882821687
20.0,0.2,9.574677733541293
20.0,0.2,6.553569821133472
20.0,0.2,8.333693577576973
20.0,0.2,9.094356550245264
20.0,0.2,9.961199605529345
20.0,0.2,8.291440245435812
20.0,0.2,8.93326622107918
20.0,0.2,8.193033277911933
20.0,0.2,9.381706899542829
20.0,0.2,8.618479492914982
20.0,0.2,8.447053756702108
20.0,0.2,8.602196268886221
20.0,0.2,8.123685923342705
20.0,0.2,9.419650975923272
20.0,0.2,9.638092172785349
20.0,0.2,9.802754738959319
20.0,0.2,8.816273806319925
20.0,0.2,9.271802890371344
20.0,0.2,8.048587457075065
20.0,0.2,8.079277467002584
20.0,0.2,9.7577067339377
20.0,0.2,8.053330659932234
20.0,0.2,9.365806713435477
20.0,0.2,7.906902308300376
20.0,0.2,9.399006378196406
20.0,0.2,9.467459307700878
20.0,0.2,9.923380092356663
20.0,0.2,9.784765710378561
20.0,0.2,8.782192982895403
20.0,0.2,9.398642870172461
20.0,0.2,9.040654625929697
20.0,0.2,9.739111973858222
20.0,0.2,8.01223484573482
20.0,0.2,9.229645118566946
20.0,0.2,8.789957161778071
20.0,0.2,7.8700253504841555
20.0,0.2,9.087425394476448
20.0,0.2,9.878589012669632
20.0,0.2,9.815381238170453
20.0,0.2,9.554229019250812
20.0,0.2,9.77052057768349
20.0,0.2,9.383126326989679
20.0,0.2,8.689381598029486
20.0,0.2,9.89057440476255
20.0,0.2,9.992331046697583
20.0,0.2,8.783412187933813
20.0,0.2,9.493072470480309
20.0,0.2,9.19335009036524
20.0,0.2,7.629528538846185
20.0,0.2,9.696948300785174
20.0,0.2,9.774670592562433
20.0,0.2,9.137021318698691
20.0,0.2,9.032196755905751
20.0,0.2,8.723079616282801
20.0,0.2,8.863381243554475
20.0,0.2,9.722107249658489
20.0,0.2,9.94669383236501
20.0,0.2,7.162487886797514
20.0,0.2,9.422413385983742
20.0,0.2,9.820465950261438
20.0,0.2,9.721279872130086
20.0,0.2,9.853941772909137
20.0,0.2,9.078760394917307
20.0,0.2,9.730845868914058
20.0,0.2,6.662974873709226
20.0,0.2,9.50990690936289
20.0,0.2,9.078511900832122
20.0,0.2,9.487383305658344
20.0,0.2,9.277847672912502
20.0,0.2,9.160701985354791
20.0,0.2,9.390711855015923
20.0,0.2,9.961002365384271
20.0,0.2,7.183822202738766
20.0,0.2,9.25796645919435
20.0,0.2,9.298216628162235
20.0,0.2,9.824270817608145
20.0,0.2,7.649814921463699
20.0,0.2,8.088323136143927
20.0,0.2,8.589647533595373
20.0,0.2,9.210819581878445
20.0,0.2,8.641129345039936
20.0,0.2,9.719596567501071
20.0,0.2,9.125792431373453
20.0,0.2,9.60102155000402
20.0,0.2,8.755931464170583
20.0,0.2,9.777999592263345
20.0,0.2,9.665273899243656
20.0,0.2,8.131572188293116
20.0,0.2,9.63110117127336
20.0,0.2,9.444279451432083
20.0,0.2,8.634372000710806
20.0,0.2,9.843332300899009
20.0,0.2,9.036184832297915
20.0,0.2,9.260480932684132
20.0,0.2,8.731398027204452
20.0,0.2,9.427449546884919
20.0,0.2,8.962354747461415
20.0,0.2,8.046851694930915
20.0,0.2,7.591764703107238
20.0,0.2,9.7536698344147
20.0,0.2,8.79565016227317
20.0,0.2,9.604533384053127
20.0,0.2,9.401425572984056
20.0,0.2,9.984327204818772
20.0,0.2,9.887488328577216
20.0,0.2,8.47042511595404
20.0,0.2,9.5709579897648
20.0,0.2,9.761745964158099
20.0,0.2,9.552088392902979
20.0,0.2,9.003015229476873
20.0,0.2,9.487962643492356
20.0,0.2,9.066734756538304
20.0,0.2,9.385778104972932
20.0,0.2,8.631166501149874
20.0,0.2,9.892401901236049
20.0,0.2,9.667211756429973
20.0,0.2,7.127535741139516
20.0,0.2,9.6796612330521
20.0,0.2,8.607249896443172
20.0,0.2,8.733700479340364
20.0,0.2,9.632175797944157
20.0,0.2,8.49886927050763
20.0,0.2,9.964245503998448
20.0,0.2,9.673961998757553
20.0,0.2,9.559416372322728
20.0,0.2,8.664463688699408
20.0,0.2,9.389735051595729
20.0,0.2,9.887955181276606
20.0,0.2,9.201316713659073
20.0,0.2,9.38074291507284
20.0,0.2,8.578407650929712
20.0,0.2,9.487736146954747
20.0,0.2,7.960527019879832
20.0,0.2,8.522429641418274
20.0,0.2,8.319573780008021
20.0,0.2,8.846814118421841
20.0,0.2,8.561445065364026
20.0,0.2,9.50578317013727
20.0,0.2,9.320778052128777
20.0,0.2,9.494008843444464
