U,T,omega_minus_mu,dos
6.0,0.2,-7.551057745684002,0.001069263441010612
6.0,0.2,-7.500548998221232,0.001124223500170507
6.0,0.2,-7.450040250758463,0.0011850388127195334
6.0,0.2,-7.399531503295694,0.0012527456941661048
6.0,0.2,-7.349022755832925,0.001328648844765597
6.0,0.2,-7.298514008370155,0.0014144157510795057
6.0,0.2,-7.248005260907386,0.0015122141939339466
6.0,0.2,-7.197496513444617,0.001624917707060722
6.0,0.2,-7.146987765981848,0.0017564215892093738
6.0,0.2,-7.096479018519078,0.0019121454110599752
6.0,0.2,-7.0459702710563095,0.0020998635697909206
6.0,0.2,-6.99546152359354,0.002331141852473532
6.0,0.2,-6.944952776130771,0.0026239605056319446
6.0,0.2,-6.894444028668001,0.003007829287612232
6.0,0.2,-6.843935281205232,0.003534609296912683
6.0,0.2,-6.793426533742463,0.004303912502196263
6.0,0.2,-6.742917786279693,0.005531399726263554
6.0,0.2,-6.692409038816924,0.007768626080225834
6.0,0.2,-6.641900291354155,0.012752202620505013
6.0,0.2,-6.591391543891386,0.02494250964212555
6.0,0.2,-6.540882796428616,0.04313191991608763
6.0,0.2,-6.4903740489658475,0.04681608369186077
6.0,0.2,-6.439865301503078,0.03670580920614147
6.0,0.2,-6.389356554040308,0.03474422674144488
6.0,0.2,-6.338847806577539,0.03393436360993037
6.0,0.2,-6.2883390591147705,0.03746601235353371
6.0,0.2,-6.237830311652001,0.04018691614888398
6.0,0.2,-6.187321564189231,0.04341499111880506
6.0,0.2,-6.136812816726462,0.04946237342524132
6.0,0.2,-6.086304069263693,0.05532553924861614
6.0,0.2,-6.035795321800924,0.05375215601466371
6.0,0.2,-5.985286574338154,0.054432114594940795
6.0,0.2,-5.9347778268753855,0.0575819658902875
6.0,0.2,-5.884269079412616,0.059659847370148476
6.0,0.2,-5.833760331949847,0.05807568157888858
6.0,0.2,-5.783251584487077,0.06171674740729578
6.0,0.2,-5.732742837024308,0.06733321199512
6.0,0.2,-5.682234089561539,0.07086776460612457
6.0,0.2,-5.63172534209877,0.07232478781401584
6.0,0.2,-5.581216594636,0.07574870967191204
6.0,0.2,-5.530707847173231,0.07372798377187724
6.0,0.2,-5.480199099710462,0.0773886106204312
6.0,0.2,-5.429690352247693,0.07752103875807016
6.0,0.2,-5.3791816047849235,0.07811982814146017
6.0,0.2,-5.328672857322154,0.07701931724301239
6.0,0.2,-5.278164109859384,0.07717841806932627
6.0,0.2,-5.227655362396615,0.07999487191620286
6.0,0.2,-5.1771466149338465,0.08399385905772817
6.0,0.2,-5.126637867471077,0.08257825616666467
6.0,0.2,-5.076129120008307,0.08252828793504892
6.0,0.2,-5.025620372545538,0.08262880260329195
6.0,0.2,-4.97511162508277,0.08385335925229079
6.0,0.2,-4.92460287762,0.08443773914750105
6.0,0.2,-4.87409413015723,0.0863325186468267
6.0,0.2,-4.8235853826944615,0.08768949485725429
6.0,0.2,-4.773076635231693,0.08642856521612421
6.0,0.2,-4.722567887768923,0.08987690531346507
6.0,0.2,-4.672059140306153,0.09508205803472386
6.0,0.2,-4.621550392843384,0.09421407523000387
6.0,0.2,-4.571041645380615,0.08854827684834501
6.0,0.2,-4.520532897917846,0.09019466697644019
6.0,0.2,-4.470024150455076,0.09458505375218927
6.0,0.2,-4.419515402992307,0.09745121346953972
6.0,0.2,-4.369006655529538,0.0969343636669153
6.0,0.2,-4.318497908066769,0.09950009793953608
6.0,0.2,-4.2679891606039995,0.10113017907897733
6.0,0.2,-4.21748041314123,0.10007055554911803
6.0,0.2,-4.166971665678461,0.10220225015460811
6.0,0.2,-4.116462918215692,0.10484004589052862
6.0,0.2,-4.0659541707529225,0.10565876884111192
6.0,0.2,-4.015445423290153,0.1063970344888725
6.0,0.2,-3.9649366758273836,0.1040922528653732
6.0,0.2,-3.9144279283646144,0.10567074148435518
6.0,0.2,-3.863919180901845,0.10926356336253247
6.0,0.2,-3.813410433439076,0.10892158903500257
6.0,0.2,-3.7629016859763067,0.10902477210861013
6.0,0.2,-3.7123929385135375,0.10988210098059599
6.0,0.2,-3.6618841910507682,0.11295850575246132
6.0,0.2,-3.611375443587999,0.10886571628606126
6.0,0.2,-3.5608666961252298,0.11394815112797367
6.0,0.2,-3.5103579486624605,0.11414026208843406
6.0,0.2,-3.459849201199691,0.11336408929187966
6.0,0.2,-3.409340453736922,0.11171126011908876
6.0,0.2,-3.3588317062741524,0.1095281662768679
6.0,0.2,-3.3083229588113836,0.11528857456123713
6.0,0.2,-3.257814211348614,0.11732872866748645
6.0,0.2,-3.207305463885845,0.11903223385962078
6.0,0.2,-3.1567967164230755,0.11857642018806265
6.0,0.2,-3.1062879689603067,0.11338354310058925
6.0,0.2,-3.055779221497537,0.11414403174878018
6.0,0.2,-3.0052704740347673,0.11488207548662144
6.0,0.2,-2.9547617265719985,0.11757373674057217
6.0,0.2,-2.904252979109229,0.12081023676516696
6.0,0.2,-2.85374423164646,0.12099543300267326
6.0,0.2,-2.8032354841836904,0.11536312319081303
6.0,0.2,-2.7527267367209216,0.11349903272527673
6.0,0.2,-2.702217989258152,0.11221328384425484
6.0,0.2,-2.651709241795383,0.11395097532668134
6.0,0.2,-2.6012004943326135,0.11331614083432776
6.0,0.2,-2.5506917468698447,0.11543579360729095
6.0,0.2,-2.500182999407075,0.11428767720914705
6.0,0.2,-2.449674251944306,0.10889744784329136
6.0,0.2,-2.3991655044815365,0.10796217872334964
6.0,0.2,-2.348656757018767,0.10981677892539991
6.0,0.2,-2.298148009555998,0.1086823484292222
6.0,0.2,-2.2476392620932284,0.10652295511146384
6.0,0.2,-2.1971305146304596,0.10819394890835055
6.0,0.2,-2.14662176716769,0.10393679244825502
6.0,0.2,-2.096113019704921,0.10259406641350821
6.0,0.2,-2.0456042722421515,0.10104984683545475
6.0,0.2,-1.9950955247793827,0.10256188806456905
6.0,0.2,-1.944586777316613,0.10344596881301152
6.0,0.2,-1.8940780298538442,0.10330931775309411
6.0,0.2,-1.8435692823910745,0.10017629540136512
6.0,0.2,-1.7930605349283057,0.10018043558349812
6.0,0.2,-1.742551787465536,0.09932743016267208
6.0,0.2,-1.6920430400027664,0.09089474863547846
6.0,0.2,-1.6415342925399976,0.09084712190009728
6.0,0.2,-1.591025545077228,0.08533017722428096
6.0,0.2,-1.5405167976144591,0.08556333773949729
6.0,0.2,-1.4900080501516895,0.08413014915337812
6.0,0.2,-1.4394993026889207,0.07946537605288403
6.0,0.2,-1.388990555226151,0.0791563768764734
6.0,0.2,-1.3384818077633822,0.07819553841800382
6.0,0.2,-1.2879730603006125,0.07142184762907769
6.0,0.2,-1.2374643128378437,0.07232746465911541
6.0,0.2,-1.186955565375074,0.0631256483256671
6.0,0.2,-1.1364468179123053,0.04936649961679048
6.0,0.2,-1.0859380704495356,0.04578268628108328
6.0,0.2,-1.035429322986766,0.043343262693400456
6.0,0.2,-0.9849205755239971,0.03659185777130804
6.0,0.2,-0.9344118280612275,0.03386866408778251
6.0,0.2,-0.8839030805984587,0.0310006307426836
6.0,0.2,-0.833394333135689,0.02453706013446503
6.0,0.2,-0.7828855856729202,0.018033937928556697
6.0,0.2,-0.7323768382101505,0.016573564157795956
